id_core,wcpm_easycbmcore.wave1,wcpm_easycbmcore.wave2,wcpm_easycbmcore.wave3,wcpm_easycbmcore.wave4,wcpm_core.wave1,wcpm_core.wave2,wcpm_core.wave3,wcpm_core.wave4,wr_easycbmcore.wave1,wr_easycbmcore.wave2,wr_easycbmcore.wave3,wr_easycbmcore.wave4,secs_easycbmcore.wave1,secs_easycbmcore.wave2,secs_easycbmcore.wave3,secs_easycbmcore.wave4,secs_core.wave1,secs_core.wave2,secs_core.wave3,secs_core.wave4,grade_core,readingcomp_easycbm.spring,sbac_score,sbac_prof,state,gender_state,ethnicity_state,frl_state,sped_state,lep_state,district_core,school_core,date.wave1,date.wave2,date.wave3,date.wave4,npassages_core.wave1,npassages_core.wave2,npassages_core.wave3,npassages_core.wave4
153,95.78804347826086,109.45273631840794,147.01910090681073,131.62513162513162,96.16983254257444,102.73460220860147,123.26864727180171,123.3084100251129,99,102,131,132,58.88,54.27,51.83,56.98,337.57,325.6,299.38,239.9,3,18,2439,Met,or,Male,White,N,N,N,District 3,School A,2017-10-25T15:59:08Z,2017-12-08T21:30:27Z,2018-03-15T20:34:01Z,2018-05-02T16:21:34Z,9,9,11,9
154,149.3606138107417,136.76092544987145,177.84552845528455,189.95744680851064,134.35216208073643,148.13792650959007,178.9625832086025,184.93170302692292,150,136,181,201,58.65,58.35,59.04,58.75,237.04,236.18,217.68,166.74,3,16,2547,Met,or,Female,White,Y,N,N,District 3,School A,2017-10-25T15:55:26Z,2017-12-08T21:30:44Z,2018-03-15T20:32:08Z,2018-05-02T16:19:42Z,9,9,11,9
155,110.85450346420323,98.74696091266131,119.60542540073983,97.67678480583348,86.9832152886349,104.02779274358095,104.32444688491826,95.51003969932026,48,88,100,101,25.98,53.47,48.66,58.97,335.23,337.57,418.71,293.74,3,12,2346,Not Met,or,Male,White,N,N,N,District 3,School A,2017-10-25T15:59:59Z,2017-12-08T21:30:51Z,2018-03-15T20:30:28Z,2018-05-02T16:20:39Z,8,9,12,9
156,157.70609318996415,129.56298200514138,164.36957631444614,174.10487018496522,149.79041170129784,146.7164042559478,164.02059369998977,163.96381534230937,158,130,167,179,58.59,58.35,58.77,58.93,205.81,239.75,275.11,180.66,3,17,2536,Met,or,Female,White,Y,N,N,District 3,School A,2017-10-25T15:54:47Z,2017-12-08T21:30:54Z,2018-03-15T20:28:02Z,2018-05-02T16:21:51Z,9,9,12,9
157,83.08383233532935,101.28126906650397,111.82875069200959,123.12633832976447,88.63200300739112,96.43631343472445,104.46251418597545,115.39019091106908,74,85,102,116,53.44,49.17,54.19,56.04,377.21999999999997,353.96,427.72,260.66,3,13,2371,Not Met,or,Female,Multi-Racial,N,N,N,District 3,School A,2017-10-25T15:54:11Z,2017-12-08T21:33:59Z,2018-03-15T20:36:31Z,2018-05-02T16:21:44Z,9,9,12,9
158,87.21232047066967,98.16225907664726,115.76763485477179,133.67018833256776,100.6620721685674,91.35595386189988,110.53867136616027,118.33495434676257,84,73,97,100,57.79,44.62,48.2,43.54,332.08,304.1,408.95,250.41,3,18,2490,Met,or,Female,White,Y,N,N,District 3,School A,2017-10-25T15:54:01Z,2017-12-08T21:29:44Z,2018-03-15T20:35:05Z,2018-05-02T16:24:13Z,9,8,12,9
160,82.6686004350979,-0,106.11263736263736,126.59979245935662,91.26942988226631,21.611822216613405,99.33951356815597,114.19165455896615,83,1,110,128,55.16,-Inf,58.24,57.82,282.2,88.45,442.81,208.96,3,14,2433,Met,or,Male,White,N,N,N,District 3,School A,2017-10-25T15:54:39Z,2017-12-08T21:37:43Z,2018-03-15T20:33:59Z,2018-05-02T16:24:32Z,8,1,12,7
161,170.62089853609288,159.94600978572635,204.61699895068207,202.16728750423297,165.09678641363547,178.2058595977211,187.1993124646239,187.37410619954068,176,162,206,208,59.43,59.27,57.18,59.06,90.23,191.96,243.82,157.43,3,20,2541,Met,or,Female,White,N,N,N,District 3,School A,2017-10-25T15:56:32Z,2017-12-08T21:28:47Z,2018-03-15T20:30:06Z,2018-05-02T16:20:56Z,5,9,12,9
163,NA,102.35414534288638,121.94705380017079,104.1879468845761,105.10054956139436,95.13939903578479,115.0278926478937,97.5555889195997,NA,102,122,106,NA,58.62,58.55,58.74,303.71999999999997,357.95,375.93,305.04,3,11,2415,Not Met,or,Female,White,Y,N,N,District 3,School A,NA,2017-12-08T21:29:24Z,2018-03-15T20:31:51Z,2018-05-02T16:24:33Z,9,9,12,9
165,87.17310087173101,104.25894378194208,121.87499999999999,145.12471655328798,89.85882697772905,112.45657249084258,103.80838532775088,123.99024481581847,72,115,124,74,48.18,58.7,57.6,26.46,354.69,279.01,388.36,187.29,3,16,2429,Not Met,or,Female,White,N,N,N,District 3,School A,2017-10-25T15:57:50Z,2017-12-08T21:29:48Z,2018-03-15T20:29:15Z,2018-05-02T16:21:00Z,9,9,12,8
166,NA,82.15229401873648,NA,96.11533840608732,NA,70.80310834177853,69.78082108820091,77.31479049556356,NA,72,NA,88,NA,41.63,NA,49.94,NA,245.18,518.75,341.92,3,5,2409,Not Met,or,Female,White,Y,N,N,District 3,School A,NA,2017-12-08T21:32:49Z,NA,2018-05-02T16:19:41Z,NA,9,11,9
167,23.166023166023166,-0,NA,NA,28.298610804080376,19.8617463025612,NA,NA,7,1,NA,NA,2.59,-Inf,NA,NA,96.3,254.13,NA,NA,3,13,2253,Not Met,or,Male,Hispanic,Y,N,Y,District 3,School A,2017-10-25T15:57:55Z,2017-12-08T21:34:31Z,NA,NA,2,4,NA,NA
168,-0,-0,29.032258064516128,-0,5.837892121882831,10.592336182381509,30.75082042240201,14.314623159127239,1,1,21,1,-Inf,-Inf,12.4,-Inf,85.01,51.64,43.5,109.24000000000001,3,7,2263,Not Met,or,Male,Hispanic,N,N,Y,District 3,School A,2017-10-25T15:45:27Z,2017-12-08T21:38:54Z,2018-03-15T20:29:23Z,2018-05-02T16:20:44Z,1,1,1,3
169,-0,-0,34.285714285714285,-0,14.23692588561902,16.53692546092958,19.69457331511953,12.959051222525632,1,1,4,1,-Inf,-Inf,1.75,-Inf,139.70999999999998,228.49,449.9,38.870000000000005,3,10,2277,Not Met,or,Female,Hispanic,N,N,Y,District 3,School A,2017-10-25T15:59:18Z,2017-12-08T21:34:09Z,2018-03-15T20:38:48Z,2018-05-02T16:19:33Z,2,3,7,2
170,76.25649913344888,82.9705505761844,76.52101191720678,NA,56.757159922236745,69.96062117879535,79.13138627632267,NA,55,67,71,NA,34.62,39.05,47.83,NA,478.46,376.96,474.25,NA,3,10,2281,Not Met,or,Female,Hispanic,Y,N,Y,District 3,School A,2017-10-25T15:58:11Z,2017-12-08T21:31:54Z,2018-03-15T20:35:07Z,NA,9,8,12,NA
171,125.97480503899219,68.85245901639344,88.64940031288023,111.95577055977886,88.49425929637488,86.05136593270028,85.97557478446522,110.60406269013781,38,51,112,116,16.67,42.7,57.53,57.88,303.48,334.12,391,267.8,3,11,2351,Not Met,or,Male,Hispanic,Y,N,Y,District 3,School A,2017-10-25T15:54:26Z,2017-12-08T21:34:20Z,2018-03-15T20:30:33Z,2018-05-02T16:25:09Z,8,8,11,9
172,59.3944099378882,-0,75.6198347107438,NA,41.52558597344764,50.46975079129841,65.76622621693903,NA,107,1,81,NA,51.52,-Inf,48.4,NA,509.35,432.09,563.54,NA,3,4,2338,Not Met,or,Female,Hispanic,Y,N,Y,District 3,School A,2017-10-25T15:59:00Z,2017-12-08T21:30:21Z,2018-03-15T20:38:00Z,NA,9,9,12,NA
175,153.89842024800407,125.53592865717715,191.33448873483536,199.15579432079818,149.10954725674875,135.55508677994086,165.50179487521794,160.01649072705524,160,128,204,191,58.87,58.31,57.7,52.12,218.43,226.51999999999998,246.93,176.18,3,13,2455,Met,or,Male,White,Y,N,N,District 3,School A,2017-10-25T15:56:30Z,2017-12-08T21:30:45Z,2018-03-15T20:29:59Z,2018-05-02T16:21:43Z,9,9,12,9
177,116.79144385026738,118.5891974782757,133.1285202252944,144.1717791411043,117.01896463438611,117.41546855707381,115.43823861832159,127.96426738378341,94,120,141,147,46.75,58.69,58.59,58.68,248.04,298.15,378.98,229.72,3,13,2326,Not Met,or,Male,Asian,Y,N,Y,District 3,School A,2017-10-25T15:58:12Z,2017-12-08T21:31:54Z,2018-03-15T20:30:23Z,2018-05-02T16:20:28Z,8,9,12,9
181,-0,70.80554130323243,111.49825783972126,105.24487669329628,NA,80.11786303872174,78.98734353456281,82.56172710156363,1,72,101,104,-Inf,58.47,51.66,57.58,NA,419.09000000000003,477.37,359.23,3,17,2471,Met,or,Male,White,N,N,N,District 3,School A,2017-10-26T20:17:42Z,2017-12-01T19:04:44Z,2018-02-14T18:58:47Z,2018-05-01T15:32:41Z,NA,9,10,9
191,153.95284327323162,101.12359550561797,104.41426146010187,122.6858248134844,81.64826504573765,85.26773111283018,102.23092976030962,105.95053687619523,37,55,89,77,14.42,32.04,47.12,36.19,358.3,285.40999999999997,388.23,257.86,3,11,2254,Not Met,or,Male,White,N,Y,N,District 3,School A,2017-10-26T20:16:49Z,2017-12-01T21:12:35Z,2018-02-14T19:02:02Z,2018-05-01T15:23:07Z,8,7,11,8
194,69.62351727694688,NA,60.409924487594395,60.71365169536659,46.905346356476876,38.732108433968556,56.05465359305778,47.25518102535292,54,NA,62,69,38.78,NA,55.62,56.33,487.11,167.29000000000002,578.92,482.55,3,10,2326,Not Met,or,Female,White,N,N,N,District 3,School A,2017-10-26T20:13:23Z,NA,2018-02-14T19:02:59Z,2018-05-01T15:34:37Z,8,2,10,8
199,74.64454976303318,78.73594001071237,64.43461781427669,90.16999260901699,56.20872323274626,69.20527320703209,56.184642803765925,65.26576020049608,50,56,65,66,33.76,37.34,47.49,40.59,476.37,425.94,584.4300000000001,442.38,3,9,2408,Not Met,or,Male,White,N,N,N,District 3,School A,2017-10-26T20:12:17Z,2017-12-01T19:01:45Z,2018-02-14T16:52:42Z,2018-05-01T15:24:26Z,9,8,10,9
201,115.02062606163553,-0,79.04070258402297,100.22386774582401,118.83594877121412,112.19559495795407,110.55512528508548,106.90331732330793,82,1,80,103,41.21,-Inf,59.21,58.07,203.64,309.05,377.27,293.99,3,15,2385,Not Met,or,Male,White,Y,N,N,District 3,School A,2017-10-26T20:11:08Z,2017-12-01T19:02:21Z,2018-02-14T19:06:51Z,2018-05-01T15:17:46Z,7,9,11,9
202,90.499306518724,90.36517433463999,108.90924229808493,95.95100374276964,77.31077154914635,91.68289208922721,100.15060595093527,91.48372033387575,92,75,113,95,57.68,48.47,60.05,58.78,417.72,351.67,387.23,336.08,3,15,2333,Not Met,or,Female,White,Y,N,N,District 3,School A,2017-10-26T20:10:54Z,2017-12-01T19:06:49Z,2018-02-14T18:59:51Z,2018-05-01T15:31:35Z,9,9,11,9
203,121.01910828025477,111.13016635225519,148.70689655172413,143.7553101104503,129.9234113009595,126.8155604711934,131.4504475501359,143.9532913708724,117,109,144,143,56.52,58.31,55.68,58.85,228.4,250.69,331.77,190.15,3,16,2464,Met,or,Female,White,Y,N,N,District 3,School A,2017-10-26T20:11:50Z,2017-12-01T21:10:05Z,2018-02-14T18:54:24Z,2018-05-01T15:27:47Z,8,8,12,8
853,NA,111.15399459668082,109.9899091826438,NA,NA,107.36163618790006,104.407972366741,NA,NA,97,115,NA,NA,51.82,59.46,NA,NA,303.58,354.94,NA,4,10,2366,Not Met,or,Male,Hispanic,Y,N,Y,District 3,School A,NA,2017-12-13T21:03:26Z,2018-03-22T17:52:35Z,NA,NA,9,10,NA
854,142.78914802475012,38.96103896103896,139.8406374501992,NA,115.24151345128574,131.86945616841905,159.89467241204812,NA,52,15,137,NA,21.01,4.62,50.2,NA,249.97,237.14000000000001,196.3,NA,4,17,2515,Met,or,Male,White,Y,N,N,District 3,School A,2017-11-08T21:13:50Z,2017-12-13T21:01:22Z,2018-03-22T17:54:56Z,NA,8,9,9,NA
855,NA,NA,85.82246529238536,NA,NA,NA,74.39275145626334,NA,NA,NA,71,NA,NA,NA,47.54,NA,NA,NA,463.98,NA,4,12,2344,Not Met,or,Female,Hispanic,Y,N,N,District 3,School A,NA,NA,2018-03-22T17:59:19Z,NA,NA,NA,10,NA
857,161.46645865834634,167.0344593447632,214.21250427058422,NA,176.66461615094747,190.77388160232687,199.95515785357463,NA,140,179,227,NA,51.28,58.91,58.54,NA,186.76,190.38,128.52,NA,4,17,2603,Met,or,Female,White,N,N,N,District 3,School A,2017-11-08T21:13:24Z,2017-12-13T21:01:11Z,2018-03-22T17:53:12Z,NA,9,9,7,NA
858,76.55786350148367,62.06896551724138,85.77405857740587,NA,67.98603562697912,70.0492532488185,103.52397716016166,NA,52,3,61,NA,33.7,2.9,28.68,NA,305.03,370.41,380.65,NA,4,11,2430,Not Met,or,Male,White,Y,Y,N,District 3,School A,2017-11-08T21:14:45Z,2017-12-13T21:01:24Z,2018-03-22T17:57:53Z,NA,7,8,10,NA
860,NA,104.81323174131202,126.79715918932965,NA,NA,73.16670693536116,113.93377648942533,NA,NA,99,125,NA,NA,53.81,57.73,NA,NA,404.17,343.53000000000003,NA,4,7,2443,Not Met,or,Male,American Indian/Native Alaskan,Y,N,N,District 3,School A,NA,2017-12-13T21:08:11Z,2018-03-22T17:54:50Z,NA,NA,8,10,NA
861,64.61538461538461,60.72351421188631,110.45828437132784,NA,79.3491488643417,57.117060797706884,80.49692193220865,NA,52,51,96,NA,45.5,46.44,51.06,NA,388.07,433.89,380.36,NA,4,13,2433,Not Met,or,Male,White,N,N,N,District 3,School A,2017-11-08T21:11:13Z,2017-12-13T21:09:09Z,2018-03-22T17:51:08Z,NA,9,7,9,NA
862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,2218,Not Met,or,Female,White,Y,N,N,District 3,School A,NA,NA,NA,NA,NA,NA,NA,NA
862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,2218,Not Met,or,Female,White,Y,N,N,District 3,School A,NA,NA,NA,NA,NA,NA,NA,NA
864,NA,27.745664739884393,81.5032827711116,NA,NA,18.016824665612344,46.96712974957654,NA,NA,22,69,NA,NA,8.65,44.17,NA,NA,646.31,591.96,NA,4,5,2366,Not Met,or,Male,Hispanic,Y,N,Y,District 3,School A,NA,2017-12-13T21:06:41Z,2018-03-22T17:51:32Z,NA,NA,8,9,NA
865,NA,NA,198.63994273443092,NA,NA,NA,196.1728747059128,NA,NA,NA,196,NA,NA,NA,55.88,NA,NA,NA,165.39,NA,4,17,2561,Met,or,Female,White,N,N,N,District 3,School A,NA,NA,2018-03-22T18:37:09Z,NA,NA,NA,9,NA
866,122.70363951473136,162.16216216216216,151.66524338172502,NA,111.71659803277895,113.74457233996267,142.47919899720395,NA,120,23,154,NA,57.7,7.77,58.55,NA,288.52,215.07999999999998,250.86,NA,4,16,2475,Met,or,Female,Hispanic,Y,N,N,District 3,School A,2017-11-08T21:16:50Z,2017-12-13T21:06:20Z,2018-03-22T17:54:41Z,NA,9,7,10,NA
866,122.70363951473136,162.16216216216216,151.66524338172502,NA,111.71659803277895,113.74457233996267,142.47919899720395,NA,120,23,154,NA,57.7,7.77,58.55,NA,288.52,215.07999999999998,250.86,NA,4,16,2475,Met,or,Female,Hispanic,Y,N,N,District 3,School A,2017-11-08T21:16:50Z,2017-12-13T21:06:20Z,2018-03-22T17:54:41Z,NA,9,7,10,NA
868,NA,NA,161.34674245736772,NA,NA,NA,127.14965717640115,NA,NA,NA,129,NA,NA,NA,45.74,NA,NA,NA,232.24,NA,4,12,2447,Not Met,or,Male,White,Y,N,N,District 3,School A,NA,NA,2018-03-22T17:54:05Z,NA,NA,NA,9,NA
869,184.75517415446743,182.93936279547788,226.36866926389172,NA,201.9680166610917,183.13959385262157,200.989972848666,NA,214,226,209,NA,59.43,58.38,48.77,NA,147.76,185.21,160.18,NA,4,15,2537,Met,or,Female,White,Y,N,N,District 3,School A,2017-11-08T21:17:20Z,2017-12-13T21:00:40Z,2018-03-22T17:54:02Z,NA,9,9,9,NA
870,NA,NA,192.90094777922317,NA,NA,NA,161.55113361240066,NA,NA,NA,188,NA,NA,NA,53.81,NA,NA,NA,248.04,NA,4,18,2532,Met,or,Female,White,Y,N,N,District 3,School A,NA,NA,2018-03-22T17:55:41Z,NA,NA,NA,10,NA
871,113.82113821138212,135.6681400884053,139.27482209420535,NA,126.50153909256596,134.87396257848167,149.2989383629054,NA,118,146,168,NA,59.04,58.82,59.02,NA,199.26,212.38,198.02,NA,4,17,2498,Met,or,Male,Hispanic,Y,N,N,District 3,School A,2017-11-08T21:15:29Z,2017-12-13T21:00:08Z,2018-03-22T17:50:03Z,NA,8,9,9,NA
872,NA,NA,128.99896800825593,NA,NA,NA,133.3724158424545,NA,NA,NA,126,NA,NA,NA,58.14,NA,NA,NA,302.03,NA,4,14,2582,Met,or,Male,White,Y,N,N,District 3,School A,NA,NA,2018-03-22T17:51:43Z,NA,NA,NA,10,NA
873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,2340,Not Met,or,Female,Hispanic,Y,N,Y,District 3,School A,NA,NA,NA,NA,NA,NA,NA,NA
874,-0,NA,-0,NA,15.341866639716885,NA,21.761194992005173,NA,1,NA,1,NA,-Inf,NA,-Inf,NA,79.36,NA,29.79,NA,4,6,2202,Not Met,or,Male,Hispanic,N,Y,Y,District 3,School A,2017-11-08T21:18:20Z,NA,2018-03-22T17:50:56Z,NA,2,NA,1,NA
875,83.98133748055987,84.48954234831228,115.63169164882225,NA,83.95184493839871,74.51384123148237,102.90031820746019,NA,60,78,103,NA,38.58,48.29,46.7,NA,306.67,441.66,269.33,NA,4,10,2324,Not Met,or,Male,Hispanic,N,N,Y,District 3,School A,2017-11-08T21:14:13Z,2017-12-13T21:10:35Z,2018-03-22T17:55:14Z,NA,8,9,8,NA
876,NA,NA,-0,NA,33.618911996804684,NA,55.15425544518541,NA,NA,NA,1,NA,NA,NA,-Inf,NA,16.35,NA,265.90999999999997,NA,4,9,2306,Not Met,or,Male,White,Y,N,N,District 3,School A,NA,NA,2018-03-22T17:50:03Z,NA,1,NA,5,NA
877,99.53343701399689,123.35735481136075,121.8026796589525,NA,77.73568010198017,105.45976540334416,114.49918630048965,NA,52,127,120,NA,19.29,47.18,49.26,NA,155.19,217.55,228.64000000000001,NA,4,11,2405,Not Met,or,Female,Asian,Y,N,Y,District 3,School A,2017-11-08T21:12:41Z,2017-12-13T21:06:01Z,2018-03-22T17:54:01Z,NA,6,8,8,NA
879,102.14835832995541,122.02688728024818,140.641158221303,NA,100.86798697516736,99.9106046612783,121.89735952736048,NA,86,126,166,NA,49.34,58.02,58.02,NA,329.48,270.54,291.64,NA,4,14,2380,Not Met,or,Female,Hispanic,Y,N,Y,District 3,School A,2017-11-08T21:17:21Z,2017-12-13T21:04:27Z,2018-03-22T17:55:19Z,NA,9,8,10,NA
880,NA,NA,107.10382513661203,NA,NA,NA,95.24672796744868,NA,NA,NA,108,NA,NA,NA,54.9,NA,NA,NA,310.19,NA,4,16,2416,Not Met,or,Female,White,Y,N,N,District 3,School A,NA,NA,2018-03-22T17:54:40Z,NA,NA,NA,8,NA
904,16.544117647058822,63.35549472037544,88.7776007284316,NA,34.38634054274543,56.519558217535014,76.70888359628003,NA,5,42,80,NA,10.88,25.57,43.93,NA,337.18,386.55,415.43,NA,4,7,2421,Not Met,or,Male,Hispanic,Y,N,Y,District 3,School A,2017-11-08T21:04:58Z,2017-12-13T21:08:56Z,2018-03-22T17:52:48Z,NA,6,8,10,NA
1234,NA,234.6368715083799,-0,NA,NA,141.0320081210905,146.19045080026137,NA,NA,13,1,NA,NA,1.79,-Inf,NA,NA,105.31,108.75,NA,4,14,2457,Not Met,or,Male,White,N,N,N,District 3,School A,NA,2017-12-07T17:36:35Z,2018-02-21T16:18:22Z,NA,NA,6,7,NA
1235,107.69761822575077,122.37895539458636,123.13432835820895,129.0650406504065,119.13004912734587,109.82691689003455,130.58367810719446,136.14204063692557,129,126,157,152,57.94,52.46,58.96,59.04,215.78,312.45,57.97,217.23,4,15,2480,Met,or,Female,White,Y,N,N,District 3,School A,2017-11-07T21:17:05Z,2017-12-07T17:38:21Z,2018-02-21T16:18:17Z,2018-05-18T20:46:47Z,8,9,2,9
1236,NA,65.56701030927834,NA,NA,NA,42.56219401608411,NA,NA,NA,77,NA,NA,NA,48.5,NA,NA,NA,561.46,NA,NA,4,17,2421,Not Met,or,Female,White,Y,N,N,District 3,School A,NA,2018-02-06T16:36:12Z,NA,NA,NA,9,NA,NA
1238,128.2775312626059,68.18181818181817,106.41442506650903,NA,123.46742168153064,120.18885966914002,137.18580671328334,NA,144,23,133,NA,49.58,6.16,33.83,NA,104.18,141.41,137.65,NA,4,17,2444,Not Met,or,Male,Hispanic,Y,N,N,District 3,School A,2017-11-07T21:18:26Z,2017-12-07T17:38:11Z,2018-02-21T16:15:34Z,NA,4,7,8,NA
1239,157.8656853725851,22.189349112426036,165.53099551271396,-0,145.14847900403922,126.02473281505195,183.79991998791922,166.96967214233769,151,17,246,1,54.35,13.52,60.17,-Inf,185.88,83.52000000000001,113.88,85.99,4,17,2498,Met,or,Male,White,N,Y,N,District 3,School A,2017-11-07T21:19:31Z,2017-12-07T17:54:07Z,2018-02-21T16:18:35Z,2018-05-18T20:48:00Z,9,5,7,5
